,ds,holiday
247,2016-07-28,Sommerferien
248,2016-07-29,Sommerferien
249,2016-07-30,Sommerferien
250,2016-07-31,Sommerferien
251,2016-08-01,Sommerferien
252,2016-08-02,Sommerferien
253,2016-08-03,Sommerferien
254,2016-08-04,Sommerferien
255,2016-08-05,Sommerferien
256,2016-08-06,Sommerferien
257,2016-10-03,Herbstferien
258,2016-10-04,Herbstferien
259,2016-10-05,Herbstferien
260,2016-10-06,Herbstferien
261,2016-10-07,Herbstferien
262,2016-10-08,Herbstferien
263,2016-10-09,Herbstferien
264,2016-10-10,Herbstferien
265,2016-10-11,Herbstferien
266,2016-10-12,Herbstferien
267,2016-10-13,Herbstferien
268,2016-10-14,Herbstferien
269,2016-10-15,Herbstferien
270,2016-10-16,Herbstferien
271,2016-12-23,Weihnachtsferien
272,2016-12-24,Weihnachtsferien
273,2016-12-25,Weihnachtsferien
274,2016-12-26,Weihnachtsferien
275,2016-12-27,Weihnachtsferien
276,2016-12-28,Weihnachtsferien
277,2016-12-29,Weihnachtsferien
278,2016-12-30,Weihnachtsferien
279,2016-12-31,Weihnachtsferien
280,2017-01-01,Weihnachtsferien
281,2017-01-02,Weihnachtsferien
282,2017-01-03,Weihnachtsferien
283,2017-02-13,Winterferien
284,2017-02-14,Winterferien
285,2017-02-15,Winterferien
286,2017-02-16,Winterferien
287,2017-02-17,Winterferien
288,2017-02-18,Winterferien
289,2017-02-19,Winterferien
290,2017-02-20,Winterferien
291,2017-02-21,Winterferien
292,2017-02-22,Winterferien
293,2017-02-23,Winterferien
294,2017-02-24,Winterferien
295,2017-02-25,Winterferien
296,2017-04-13,Osterferien
297,2017-04-14,Osterferien
298,2017-04-15,Osterferien
299,2017-04-16,Osterferien
300,2017-04-17,Osterferien
301,2017-04-18,Osterferien
302,2017-04-19,Osterferien
303,2017-04-20,Osterferien
304,2017-04-21,Osterferien
305,2017-04-22,Osterferien
306,2017-04-23,Osterferien
307,2017-05-26,Pfingstferien
308,2017-05-27,Pfingstferien
309,2017-06-26,Sommerferien
310,2017-06-27,Sommerferien
311,2017-06-28,Sommerferien
312,2017-06-29,Sommerferien
313,2017-06-30,Sommerferien
314,2017-07-01,Sommerferien
315,2017-07-02,Sommerferien
316,2017-07-03,Sommerferien
317,2017-07-04,Sommerferien
318,2017-07-05,Sommerferien
319,2017-07-06,Sommerferien
320,2017-07-07,Sommerferien
321,2017-07-08,Sommerferien
322,2017-07-09,Sommerferien
323,2017-07-10,Sommerferien
324,2017-07-11,Sommerferien
325,2017-07-12,Sommerferien
326,2017-07-13,Sommerferien
